Eyes,Variant,Participant_ID,MAE
left,18,1,0.06066655367612839
left,18,2,0.14393356442451477
left,18,3,0.07205618917942047
left,18,4,0.12321705371141434
left,18,5,0.11051073670387268
left,18,6,0.08391264081001282
left,18,7,0.05147470161318779
left,18,8,0.07950242608785629
left,18,9,0.10095756500959396
left,18,10,0.05087028443813324
left,18,11,0.09170927107334137
left,18,12,0.060421768575906754
left,18,13,0.08746492117643356
left,18,14,0.0606367327272892
left,18,15,0.07367448508739471
left,18,16,0.0676269456744194
left,18,17,0.07537149637937546
left,18,18,0.04381788894534111
left,18,19,0.11336886882781982
left,18,20,0.0594102144241333
left,18,21,0.07451324164867401
left,18,22,0.05038567632436752
left,18,23,0.07266535609960556
left,18,24,0.1000712662935257
left,18,25,0.06840415298938751
left,18,26,0.08441632986068726
left,18,27,0.06490661203861237
left,18,28,0.05192993953824043
left,18,29,0.04269179329276085
left,18,30,0.06219404190778732
left,18,31,0.2185778021812439
left,18,32,0.06818578392267227
left,18,33,0.0807795524597168
left,18,34,0.027047932147979736
left,18,35,0.04552647843956947
left,18,36,0.06188874691724777
left,18,37,0.06796028465032578
left,18,38,0.08536647260189056
left,18,39,0.09005529433488846
left,18,40,0.09286225587129593
left,18,41,0.07726449519395828
left,18,42,0.09994251281023026
left,18,43,0.1378324180841446
left,18,44,0.04393487423658371
left,18,45,0.07312287390232086
left,18,46,0.06894786655902863
left,18,47,0.06208057329058647
left,18,48,0.1138816550374031
left,18,49,0.2583253085613251
left,18,50,0.029749197885394096
left,18,51,0.02800324186682701
left,50,1,0.0633583664894104
left,50,2,0.12734948098659515
left,50,3,0.06071113795042038
left,50,4,0.0840504840016365
left,50,5,0.09823977202177048
left,50,6,0.10104840993881226
left,50,7,0.04173565283417702
left,50,8,0.09139103442430496
left,50,9,0.06426160782575607
left,50,10,0.06363695859909058
left,50,11,0.06030265986919403
left,50,12,0.11145985871553421
left,50,13,0.1284552812576294
left,50,14,0.06304183602333069
left,50,15,0.06272858381271362
left,50,16,0.07663469016551971
left,50,17,0.08061670511960983
left,50,18,0.048760026693344116
left,50,19,0.05564834177494049
left,50,20,0.07002231478691101
left,50,21,0.07558462768793106
left,50,22,0.049897998571395874
left,50,23,0.08284036815166473
left,50,24,0.09004087746143341
left,50,25,0.0939955860376358
left,50,26,0.05157042294740677
left,50,27,0.05753766745328903
left,50,28,0.05055512487888336
left,50,29,0.054914165288209915
left,50,30,0.036318160593509674
left,50,31,0.2477627396583557
left,50,32,0.10509571433067322
left,50,33,0.05529706925153732
left,50,34,0.024931276217103004
left,50,35,0.04457026720046997
left,50,36,0.06531921774148941
left,50,37,0.04105250909924507
left,50,38,0.051513925194740295
left,50,39,0.05436250567436218
left,50,40,0.08387715369462967
left,50,41,0.04594627767801285
left,50,42,0.16251632571220398
left,50,43,0.15096871554851532
left,50,44,0.04247380793094635
left,50,45,0.07368921488523483
left,50,46,0.04295891523361206
left,50,47,0.06420033425092697
left,50,48,0.0913693979382515
left,50,49,0.22842812538146973
left,50,50,0.02938762493431568
left,50,51,0.03327357769012451
right,18,1,0.08025781065225601
right,18,2,0.17943909764289856
right,18,3,0.06617023050785065
right,18,4,0.0677904561161995
right,18,5,0.058511801064014435
right,18,6,0.16620373725891113
right,18,7,0.11370978504419327
right,18,8,0.07863900065422058
right,18,9,0.09021315723657608
right,18,10,0.05574463680386543
right,18,11,0.1675841212272644
right,18,12,0.19846497476100922
right,18,13,0.08696377277374268
right,18,14,0.056638021022081375
right,18,15,0.05797582119703293
right,18,16,0.06970535963773727
right,18,17,0.11495950818061829
right,18,18,0.056154120713472366
right,18,19,0.12067369371652603
right,18,20,0.09410815685987473
right,18,21,0.06585666537284851
right,18,22,0.10860271751880646
right,18,23,0.0774303451180458
right,18,24,0.08845441043376923
right,18,25,0.14533637464046478
right,18,26,0.1326950341463089
right,18,27,0.05828815698623657
right,18,28,0.05471489205956459
right,18,29,0.07269390672445297
right,18,30,0.08849456161260605
right,18,31,0.24122066795825958
right,18,32,0.14368300139904022
right,18,33,0.09933502972126007
right,18,34,0.0718979611992836
right,18,35,0.051970478147268295
right,18,36,0.13612689077854156
right,18,37,0.051423490047454834
right,18,38,0.11620841920375824
right,18,39,0.18096818029880524
right,18,40,0.06980817019939423
right,18,41,0.11037570238113403
right,18,42,0.1567119061946869
right,18,43,0.1607751101255417
right,18,44,0.052288491278886795
right,18,45,0.08558337390422821
right,18,46,0.11941472440958023
right,18,47,0.06362336874008179
right,18,48,0.07975795865058899
right,18,49,0.3042783737182617
right,18,50,0.029263092204928398
right,18,51,0.043450746685266495
right,50,1,0.06318376958370209
right,50,2,0.18776194751262665
right,50,3,0.06481355428695679
right,50,4,0.09097427874803543
right,50,5,0.05345996096730232
right,50,6,0.1099412590265274
right,50,7,0.11666109412908554
right,50,8,0.07980535179376602
right,50,9,0.0784568265080452
right,50,10,0.05880052596330643
right,50,11,0.1558084338903427
right,50,12,0.16321547329425812
right,50,13,0.12641987204551697
right,50,14,0.05220044031739235
right,50,15,0.07148011028766632
right,50,16,0.07187309861183167
right,50,17,0.10809174925088882
right,50,18,0.04661037400364876
right,50,19,0.12571226060390472
right,50,20,0.1036003828048706
right,50,21,0.07377945631742477
right,50,22,0.08633679151535034
right,50,23,0.07986132055521011
right,50,24,0.10685591399669647
right,50,25,0.09338714927434921
right,50,26,0.14587223529815674
right,50,27,0.0740632563829422
right,50,28,0.06220834329724312
right,50,29,0.05172760784626007
right,50,30,0.04390616714954376
right,50,31,0.19671665132045746
right,50,32,0.09086460620164871
right,50,33,0.07212292402982712
right,50,34,0.046990107744932175
right,50,35,0.04849054291844368
right,50,36,0.06725375354290009
right,50,37,0.04466961696743965
right,50,38,0.06950773298740387
right,50,39,0.13143739104270935
right,50,40,0.06473363190889359
right,50,41,0.07272695749998093
right,50,42,0.10572922974824905
right,50,43,0.16233253479003906
right,50,44,0.04683370143175125
right,50,45,0.06993575394153595
right,50,46,0.11163588613271713
right,50,47,0.053027357906103134
right,50,48,0.05803293734788895
right,50,49,0.1884598284959793
right,50,50,0.03146611899137497
right,50,51,0.03049674816429615
